contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,total_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games
Cam Newton,2021,8250000.0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Newton,2021,5100000.0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Newton,2020,1750000.0,830,1446,10507,3910.5000000000005,71,37,103,819,332,1554,22,45
Jake Locker,2011,12586002.0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,2011,12001646.0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,2015,4000000.0,417,784,4395,2083.2999999999997,23,24,74,518,76,191,0,29
Blaine Gabbert,2018,4000000.0,44,72,498,175.7,5,3,3,18,9,30,0,2
Blaine Gabbert,2021,2000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,2022,2250000.0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,2019,1600000.0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,2020,1187500.0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,2023,1317500.0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,2017,855000.0,269,442,2956,1100.3,15,13,36,212,72,358,3,14
Christian Ponder,2011,10158698.0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Ponder,2015,2250000.0,632,1057,6658,2746.0000000000005,38,36,95,501,126,639,7,38
Christian Ponder,2015,745000.0,632,1057,6658,2746.0000000000005,38,36,95,501,126,639,7,38
Christian Ponder,2016,800000.0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,2014,96000000.0,1062,1753,12078,4347.099999999999,81,55,108,621,157,513,7,51
Andy Dalton,2021,10000000.0,0,0,0,0,0,0,0,0,0,0,0,0
